Sitename,Country,Latitude,Longitude,LAI,Time of Measurement,Year_LAI,Methodology/ remarks,Biome,Biomecover,Dominant species,Author,Year_pub,ANPP,BNPP,TNPP,Elevation (m),Age,Remarks/ original source,Unnamed: 19
N/A                                                               , UK                 ,52.48,-0.25,4.1,                      N/A ,      1959a , X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ovington, J.D.                           ",      1959a ,770,-999,-999,50,-999,                                                                                               ,
N/A                                                               , UK                 ,52.48,-0.25,2.8,                      N/A ,      1959a , X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ovington, J.D.                           ",      1959a ,770,-999,-999,50,-999,                                                                                               ,
N/A                                                               , UK                 ,52.48,-0.25,6.2,                      N/A ,      1959a , X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ovington, J.D.                           ",      1959a ,630,-999,-999,50,-999,                                                                                               ,
N/A                                                               , UK                 ,52.48,-0.25,0.4,                      N/A ,      1959a , X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ovington, J.D.                           ",      1959a ,540,-999,-999,50,-999,                                                                                               ,
Tienhoven                                                         , Netherlands        ,52.17,5.08,1.02,                  6th May ,1987, A                                                      ,Grassland / wet meadow            , Grassland         , Carex acutiformis                                        ," Hirose, T. et al.                        ",1989,-999,-999,-999,0,-999,                                                                                               ,
Tienhoven                                                         , Netherlands        ,52.17,5.08,2.69,                23rd July ,1987, A                                                      ,Grassland / wet meadow            , Grassland         , Carex acutiformis                                        ," Hirose, T. et al.                        ",1989,-999,-999,-999,0,-999,                                                                                               ,
Tienhoven                                                         , Netherlands        ,52.17,5.08,2.06,                11th June ,1987, A                                                      ,Grassland / wet meadow            , Grassland         , Carex acutiformis                                        ," Hirose, T. et al.                        ",1989,-999,-999,-999,0,-999,                                                                                               ,
Meerdink                                                          , Netherlands        ,51.92,6.7,5.2,                      N/A ,  1967-1970 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus patraea                                          ," Van der Drift, J.                        ",1981,1120,70,1190,45,140,                                                                                               ,
Solling B1                                                        , Germany            ,51.82,9.58,5.88,                      N/A ,1969, X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Ellenberg, H.                            ",1971,1123,250,1373,500,122,                                                                                               ,
Solling B4                                                        , Germany            ,51.75,9.6,6.51,                      N/A ,1969, X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Ellenberg, H.                            ",1971,1224,-999,-999,430,59,                                                                                               ,
Solling B3                                                        , Germany            ,51.75,9.57,6.72,                      N/A ,1969, X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Ellenberg, H.                            ",1971,1008,-999,-999,470,80,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,10.1,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,2166,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,5.1,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,1136,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,4.8,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,1051,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,2.8,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,579,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,2.3,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,555,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,2.8,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,486,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,1.7,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,429,-999,-999,-999,-999,                                                                                               ,
University of Reading                                             , UK                 ,51.45,-0.95,1.9,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Vicia faba                                               , De Costa et al.                          ,1997,394,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , UK                 ,51.08,0.92,5.6,                      N/A ,1970, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ford, et al.                             ",1970,1090,-999,-999,10,-999,                                                                                               ,
N/A                                                               , UK                 ,51.08,0.92,3.6,                      N/A ,1970, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Ford, et al.                             ",1970,840,-999,-999,10,-999,                                                                                               ,
"Ham Street Woods National Nature Reserve, Kent                    ", UK                 ,51.08,0.85,5.6,                   August ,  1965-1966 , A                                                      ,Forest / temp decid woodland      , Forest / TeDBL    , Castanea sativa                                          ," Ford, E.D. and P.J. Newbould             ",1971,-999,-999,-999,-999,11,"max. value for coppice; leaf type planophile, leaf angle 15-37 degrees                         ",
N/A                                                               , UK                 ,51,-1,5.6,                      N/A ,1966, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Peterken                                 ,1966,1540,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , UK                 ,51,-1,5.6,                      N/A ,1966, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Peterken                                 ,1966,970,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , UK                 ,51,-1,2.1,                      N/A ,1966, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Peterken                                 ,1966,380,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , UK                 ,51,-1,2.4,                      N/A ,1966, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Peterken                                 ,1966,360,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , UK                 ,51,-1,1.4,                      N/A ,1966, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Peterken                                 ,1966,220,-999,-999,-999,-999,                                                                                               ,
Matador                                                           , Canada             ,50.7,-107.72,1,                     July ,1971, A; specific leaf area x wt.  (max value)               ,Grassland                         , Grassland         , Agropyron spp.                                           , Coupland                                 ,1971,-999,-999,-999,676,1,                                                                                               ,
Matador                                                           , Canada             ,50.7,-107.72,1.5,                     July ,1970, A; specific leaf area x wt.  (max value)               ,Grassland                         , Grassland         , Agropyron spp.                                           , Coupland                                 ,1970,-999,-999,-999,676,1,                                                                                               ,
N/A                                                               , Belgium            ,50.18,5.02,5.7,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Duvigneaud, et al.                       ",1969,1426,168,1594,250,-999,                                                                                               ,
N/A                                                               , Belgium            ,50.15,5.1,4.6,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Duvigneaud, et al.                       ",1969,1063,103,1166,50,-999,                                                                                               ,
"Ispina, Niepolomice                                               ", Poland             ,50.1,20.37,4.72,                      N/A ,  1967-1969 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus robur                                            ," Medwecka-Kornas, A. et al.               ",1974,1006,124,1246,180,100,                                                                                               ,
Virelles                                                          , Belgium            ,50.07,4.35,6.8,                      N/A ,  1964-1969 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus robur                                            ," Duvigneaud, P.                           ",1968,1224,233,1457,245,80,                                                                                               ,
N/A                                                               , Belgium            ,50.03,5.23,6.5,                      N/A ,1975, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Kestemont                                ,1975,1135,182,1317,          350-400 ,-999,                                                                                               ,
N/A                                                               , Belgium            ,50.03,5.23,6.4,                      N/A ,1975, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Kestemont                                ,1975,1060,137,1197,          350-400 ,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.5,-92.37,3.2,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,864,-999,-999,421,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.5,-92.43,2.56,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,686,-999,-999,392,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.5,-92.43,3.09,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,825,-999,-999,384,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.5,-92.5,2.94,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,882,-999,-999,396,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.33,-92.3,3.27,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,432,-999,-999,415,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.33,-92.3,2.69,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,348,-999,-999,415,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.33,-92.3,2.88,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,325,-999,-999,415,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-92.25,2.43,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,667,-999,-999,421,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-92.25,2.52,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,563,-999,-999,421,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-92.3,2.6,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,319,-999,-999,415,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-93.17,2.63,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,999,-999,-999,421,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-93.5,2.69,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,295,-999,-999,439,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49.17,-93.5,2.47,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,887,-999,-999,442,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-92.17,3.67,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,346,-999,-999,436,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-92.17,3.48,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,382,-999,-999,434,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-92.33,2.46,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,736,-999,-999,433,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-93.17,2.85,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,985,-999,-999,460,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-93.17,2.76,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,529,-999,-999,457,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-93.33,2.85,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,786,-999,-999,442,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-93.33,2.79,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,855,-999,-999,436,-999,                                                                                               ,
Superior National Forest                                          , USA                ,49,-93.5,3.39,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,1199,-999,-999,447,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.83,-91.95,0.84,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,71,-999,-999,-999,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.83,-91.97,0.71,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,66,-999,-999,442,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.83,-91.97,0.52,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,49,-999,-999,436,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.83,-92,3.12,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,590,-999,-999,439,-999,                                                                                               ,
"Dyje River, Horni Les, No. 523, Moravia                           ", Czech Republic     ,48.81,16.78,4.9,                      N/A ,1975," X; treeLAI = 4.9, shrub/herbLAI est. 2.0               ",Flood Plain Forest                , Forest / TeDBL    ," Quercus robur, Fraxinus excelsior, F. angustifolia       "," Cermak, J.                               ",1998,1788,-999,-999,160,100,see also Vyskot (1976)                                                                         ,
Champenoux control                                                , France             ,48.73,6.23,4.25,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Champenoux thinned                                                , France             ,48.73,6.23,3.15,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Champenoux control                                                , France             ,48.73,6.23,4.91,                      N/A ,1992, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Champenoux thinned                                                , France             ,48.73,6.23,3.86,                      N/A ,1992, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Champenoux control                                                , France             ,48.73,6.23,5.97,                      N/A ,1991, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Champenoux control                                                , France             ,48.73,6.23,5.56,                      N/A ,1990, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,237,32,                                                                                               ,
Superior National Forest                                          , USA                ,48.67,-91.95,0.69,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,58,-999,-999,436,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.67,-92.67,4.26,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,538,-999,-999,419,-999,                                                                                               ,
Hurepoix/ Aigrefoin                                               , France             ,48.58,2.05,2.88,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Castanea sativa and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,120,53,                                                                                               ,
Hurepoix/ LimoursA                                                , France             ,48.58,2.05,7.45,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Castanea sativa and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,150,50,                                                                                               ,
Hurepoix/ LimoursC                                                , France             ,48.58,2.05,5.81,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Castanea sativa and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,150,50,                                                                                               ,
Hurepoix/ LimoursB                                                , France             ,48.58,2.05,6.4,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Castanea sativa and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,140,50,                                                                                               ,
Hurepoix/ Villier                                                 , France             ,48.58,2.05,5.14,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Castanea sativa and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,130,24,                                                                                               ,
"Troy, MT                                                          ", USA                ,48.5,-116,7.3,                      N/A ,        N/A , A and C (all-sided)                                    ,Forest / temp coniferous          , Forest / TeENL    , Pinus ponderosa                                          ," McLeod, S.D. and S.W. Running            ",1988,-999,-999,-999,610,59,                                                                                               ,
Fontainebleau 271                                                 , France             ,48.43,2.68,2.46,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Fagus sylvatica                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,137,400,                                                                                               ,
Fontainebleau 228                                                 , France             ,48.43,2.68,1.71,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea                                          ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,85,180,                                                                                               ,
Fontainebleau 267                                                 , France             ,48.43,2.68,5.86,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,138,126,                                                                                               ,
Fontainebleau 354                                                 , France             ,48.43,2.68,4.67,                      N/A ,1993, B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus petraea and others                               ," Dufrene, E. and N. Breda                 ",1995,-999,-999,-999,84,80,                                                                                               ,
Fontainbleu                                                       , France             ,48.42,2.63,6.9,                      N/A ,  1968-1974 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Fagus sylvatica                                          ," Lemee, G.                                ",1981,440,-999,-999,135,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.33,-91.92,1.83,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,215,-999,-999,436,-999,                                                                                               ,
N/A                                                               , Czech Republic     ,48.18,17.9,3.8,                      N/A ,1977, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Kubicek, et al.                          ",1977,1270,-999,-999,209,-999,                                                                                               ,
Bab                                                               , Czech Republic     ,48.18,17.9,5.19,                      N/A ,1972, X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Carpinus betulus                                         ," Biskupsky, V.                            ",1975,1070,-999,-999,208,50,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-91.88,2.7,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,404,-999,-999,463,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-91.88,3.74,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,410,-999,-999,457,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-91.88,2,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,180,-999,-999,457,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-91.92,2.79,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,330,-999,-999,439,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-92.48,3.04,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,922,-999,-999,396,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-92.5,3.27,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,947,-999,-999,404,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.17,-92.5,3.23,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,812,-999,-999,381,-999,                                                                                               ,
Superior National Forest                                          , USA                ,48.15,-92.44,3.52,                      N/A ,  1983-1984 , C (general equations)                                  ,BODBL                             , Forest / BoDBL    , Populus tremul. & grandident.                            ," Hall, F.G. et al.                        ",1992,853,-999,-999,450,-999,elevation estimated                                                                            ,
Superior National Forest                                          , USA                ,48.08,-91.96,0.59,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,51,-999,-999,450,-999,elevation estimated                                                                            ,
Superior National Forest                                          , USA                ,48.08,-91.96,0.74,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,63,-999,-999,450,-999,elevation estimated                                                                            ,
Superior National Forest                                          , USA                ,48.08,-91.96,0.48,                      N/A ,  1983-1984 , C (general equations)                                  ,BOENL                             , Forest / BoENL    ," Picea, Abies                                             "," Hall, F.G. et al.                        ",1992,39,-999,-999,450,-999,elevation estimated                                                                            ,
